X,Y,Proportion,,,,
PTB,B cells naive,0.083437139,,,,
PTB,B cells memory,0.037643161,,,,
PTB,Plasma cells,0.002295569,,,,
PTB,T cells CD8,0.101081072,,,,
PTB,T cells CD4 naive,0.020372506,,,,
PTB,T cells CD4 memory resting,0.047145473,,,,
PTB,T cells CD4 memory activated,0.058859503,,,,
PTB,T cells follicular helper,0.000272596,,,,
PTB,T cells regulatory (Tregs),0.020628332,,,,
PTB,T cells gamma delta,0.001499586,,,,
PTB,NK cells resting,0.148479441,,,,
PTB,NK cells activated,0.027422254,,,,
PTB,Monocytes,0.175086297,,,,
PTB,Macrophages M0,0.011495231,,,,
PTB,Macrophages M1,0.006367932,,,,
PTB,Macrophages M2,0.00678619,,,,
PTB,Dendritic cells resting,0.004145671,,,,
PTB,Dendritic cells activated,0.002222261,,,,
PTB,Mast cells resting,0.058680544,,,,
PTB,Mast cells activated,0.000330976,,,,
PTB,Eosinophils,0.040669487,,,,
PTB,Neutrophils,0.145078779,,,,
non-PTB,B cells naive,0.115244159,,,,
non-PTB,B cells memory,0.040070748,,,,
non-PTB,Plasma cells,0.00200024,,,,
non-PTB,T cells CD8,0.121768138,,,,
non-PTB,T cells CD4 naive,0.013741964,,,,
non-PTB,T cells CD4 memory resting,0.100477684,,,,
non-PTB,T cells CD4 memory activated,0.05078459,,,,
non-PTB,T cells follicular helper,0.000349629,,,,
non-PTB,T cells regulatory (Tregs),0.025840187,,,,
non-PTB,T cells gamma delta,0.000138358,,,,
non-PTB,NK cells resting,0.159200977,,,,
non-PTB,NK cells activated,0.018528147,,,,
non-PTB,Monocytes,0.15067263,,,,
non-PTB,Macrophages M0,0.010704061,,,,
non-PTB,Macrophages M1,0.004532623,,,,
non-PTB,Macrophages M2,0.007527423,,,,
non-PTB,Dendritic cells resting,0.002497844,,,,
non-PTB,Dendritic cells activated,0.002405124,,,,
non-PTB,Mast cells resting,0.042332825,,,,
non-PTB,Mast cells activated,0,,,,
non-PTB,Eosinophils,0.042758966,,,,
non-PTB,Neutrophils,0.088423683,,,,
